36,22,3831,softball,balle molle,Ball Diamond 02 - South,Terrain de balle 02 - Sud,baseball,65,65,no/non,no/non,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
37,582,33103,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
38,783,33132,baseball,baseball,Ball Diamond - Baseball,Terrain de balle - Baseball,baseball,109,100,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,yes/oui,yes/oui,None,None,None,None,None
39,842,33136,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,72,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
40,420,33075,baseball,baseball,Ball Diamond - Baseball,Terrain de balle - Baseball,baseball,70,65,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
41,974,3883,softball,balle molle,Ball Diamond,Terrain de balle,baseball,100,80,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
42,235,33039,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,60,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,no/non,no/non,no/non,None,None,None,None,None
43,542,33098,softball,balle molle,Ball Diamond,Terrain de balle,baseball,60,50,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
44,137,33021,softball,balle molle,#1 - North (Clay Wheaton Softball Diamond),No 1 - Nord (terrain de balle molle Clay-Wheaton),baseball,77,72,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
45,204,33031,softball,balle molle,East Diamond,Terrain de balle Est,baseball,80,70,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
